Artikelname;EAN;SKU;Brand;MwSt;EK netto;empfl. VK brutto;Inhalt;Beschreibung;Anwendung;INCI
the MAX™ neck lift;819984012585;M-205;IMAGE Skincare;19;45,00 €;90,00 €;59 ml;"Diese ultrastraffende Hals- und Dekolleté-Lifting-Crème arbeitet gezielt gegen schlaffe Haut, tiefe Furchen, Falten und
feine Linien. Beinhaltet die MAXimale Konzentration innovativer Peptide mit einer pflanzlichen Stammzelltechnologie, die
die Elastizität der Haut verbessert, aufhellt, festigt und den Hals- und Kieferbereich definiert. Länger jung aussehen nach
nur wenigen Anwendungen.";"Für maximale Resultate morgens und abends eine großzügige Menge auf den Hals- und Dekolletébereich bis hin zur Kieferlinie
auftragen.";"Aqua/Water/Eau, Glycerin, Dimethicone, Caprylic/Capric Triglyceride, Butyrospermum Parkii (Shea) Butter, Isononyl Isononanoate, Squalane, Butylene Glycol, Cetearyl Alcohol,
Propanediol, Stearic Acid, Glyceryl Stearate, Peg-100 Stearate, Pentylene Glycol, Phenoxyethanol, Dimethicone Crosspolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Limonene,
Citrus Grandis (Grapefruit) Peel Oil, Leontopodium Alpinum Callus Culture Extract, Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract, Citrus Aurantium Bergamia (Bergamot)
Fruit Oil, Sorbitan Laurate, Ethylhexylglycerin, Sodium Hydroxide, Hydroxyethylcellulose, Tetrahexyldecyl Ascorbate, 3-Aminopropane Sulfonic Acid, Calcium Hydroxymethionine,
Polysorbate 20, Natto Gum, Acetyl Dipeptide-1 Cetyl Ester, Linalool, Tocopherol, Biosaccharide Gum-1, Caprylyl Glycol, Citric Acid, Xanthan Gum, Carrageenan, Sucrose Palmitate,
Camellia Sinensis (Green Tea) Leaf Extract, Paullinia Cupana (Guarana) Seed Extract, Glyceryl Linoleate, Tocopheryl Acetate, Dextran, Acetyl Tetrapeptide-2, Sea Salt, Trifluoroacetyl
Tripeptide-2, Malus Domestica Fruit Cell Culture Extract, Potassium Sorbate, Hydroxypropyl Cyclodextrin, Lecithin, Palmitoyl"
the MAX™ wrinkle smoother;819984015159;M-206N;IMAGE Skincare;19;46,50 €;93,00 €;15 ml;"Wirkungsvolles Serum mit potenten Peptiden und pflanzlicher Stammzelltechnologie zur Reduktion der Anzeichen feiner
Linien und Falten im oberen Gesichtsbereich. Ein fortschrittliches Peptid reduziert gezielt die Faltenentstehung und gleicht
die Anzeichen feiner Linien an der Stirn und im Augenbereich auf, während pflanzliche Stammzellen der Haut ein strafferes
Aussehen verleihen.";Morgens und abends auf die gereinigte Haut auf die betroffenen Stellen im Stirn- und Augenbereich auftragen.;"Aqua/Water/Eau, Propanediol, Isononyl Isononanoate, Glycerin, Caprylic/Capric Triglyceride, Limnanthes Alba Seed Oil, Pentylene Glycol, Coco-Caprylate/Caprate, Castor Oil/IPDI
Copolymer, 1,2-Hexanediol, Caesalpinia Spinosa Fruit Extract, Carbomer, Kappaphycus Alvarezii Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Iris Pallida Leaf Cell Extract,
Sodium Hydroxide, Xanthan Gum, Adenosine, Disodium Edta, Caprylyl Glycol, Sodium Carraageenan, Acetyl Hexapeptide-1, Amodimethicone, Maris Sal, Tocopherol, Helianthus Annuus
Seed Oil, Phenoxyethanol, CI40800"
the MAX™ contour gel crème;819984015142;M-207N;IMAGE Skincare;19;62,50 €;125,00 €;50 ml;"Gesichtcrème, die speziell für den unteren Gesichtsbereich ab den Wangen abwärts entwickelt wurde.
Ein Anti-Schwerkraft-Peptid und Lipo-Filler helfen, dem Erscheinen von Erschlaffung und Kraftlosigkeit entgegenzuwirken
und stellen das jugendliche Volumen wieder her. Nährstoffreiche pflanzliche Stammzellen helfen, das Aussehen der
Gesichtskonturen zu verbessern und die Festigkeit wieder herzustellen.";"Morgens und abends auf die gereinigte Haut auf die betroffenen Stellen im unteren Gesichtsbereich auftragen und
mit Aufwärtsbewegungen einmassieren.";"Aqua/Water/Eau, Glycerin, Propanediol, Undecane, Isononyl Isononanoate, Isodecyl Neopentanoate, Octyldodecyl Myristate, Pentylene Glycol, Tridecane, Cetearyl Alcohol, Lauroyl
Lysine, Jojoba Esters, 1,2-Hexanediol, Polyacrylate Crosspolymer-6, Butyrospermum Parkii Butter, Orbignya Oleifera Seed Oil, Calanthe Discolor Extract, Carbomer, Ammonium
Acryloyldimethyltaurate/Vp Copolymer, Citrus Aurantium Dulcis (Orange) Peel Oil Expressed, Sodium Acetylated Hyaluronate, Limonene, Iris Pallida Leaf Cell Extract, Sodium
Hydroxide, Trisodium Ethylendiamine Disuccinate, Tocopheryl Acetate, Amodimethicone, T-Butyl Alcohol, Phenoxyethanol, Xanthan Gum, Gluconolactone, Caprylyl Glycol, Sodium
Carrageenan, Sodium Benzoate, Tocopherol, Linalool, Acetyl Tetrapeptide-2, Maris Sal, Calcium Gluconate, Helianthus Annuus Seed Oil"
VITAL C hydrating facial cleanser;819984011243;V-200N;IMAGE Skincare;19;18,50 €;37,00 €;177 ml;"Ein hochwirksamer, cremiger Vitamin C-Gesichtsreiniger, der schonend Make-up und Unreinheiten entfernt.
Potente Antioxidantien und Vitamine beruhigen trockene, dehydrierte und zu Rosacea neigende Haut.";"Morgens und abends eine geringe Menge in die befeuchteten Handflächen geben und 1 Minute
in die Haut einmassieren. Mit lauwarmem Wasser entfernen.";"Water/Aqua/Eau, Isododecane, Cetearyl Olivate, Cetyl Alcohol, Neopentyl Glycol Dicaprylate/Dicaprate, Caprylic/Capric Triglyceride, Citrus Aurantium Dulcis (Orange) Peel Oil,
Sorbitan Olivate, Limonene, Stearic Acid, Glyceryl Stearate, Peg-100 Stearate, Coco-Caprylate/Caprate, Decyl Glucoside, Glycereth-26, C10-16 Alkyl Glucoside, Glycerin, Xanthan Gum,
Magnesium Aluminum Silicate, Ethylhexylglycerin, Eugenia Caryophyllus (Clove) Leaf Oil, Retinyl Palmitate, Sodium Ascorbyl Phosphate, Butylene Glycol, Tocopheryl Acetate, Yeast
Polysaccharides, Sodium Hydroxide, Ascorbyl Palmitate, Tocopherol, Vitis Vinifera (Grape) Seed Extract, Alchemilla Vulgaris Extract, Saponaria Officinalis Leaf/Root Extract, Pentylene
Glycol, Tromethamine, Superoxide Dismutase, Phenoxyethanol, Eugenol."
VITAL C hydrating anti-aging serum;819984011045;V-251N;IMAGE Skincare;19;41,00 €;82,00 €;50 ml;"Ein feuchtigkeitsspendendes Serum, das mit fettlöslichem Vitamin C umweltgeschädigte Haut versorgt.
Die Vitamine A und E sowie höchst wirksame Antioxidantien versorgen die Haut mit Nährstoffen, um sie gesünder
und jugendlicher wirken zu lassen. Diese Rezeptur beinhaltet multiple Formen von Vitamin C zur Bekämpfung sichtbarer
Anzeichen der Hautalterung und Hyaluronsäure zur intensiven Feuchtigkeitsversorgung.";Morgens und abends großzügig auf die gereinigte Haut auftragen.;"Aloe Barbadensis Leaf Juice, Water/Aqua/Eau, Glycerin, Citrus Aurantium Dulcis (Orange) Oil, Caprylic/Capric Triglyceride, Limonene, C12-15 Alkyl Benzoate, Cetearyl Olivate, Sorbitan
Olivate, Imperata Cylindrica Root Extract, Magnesium Ascorbyl Phosphate, Ppg-12/Smdi Copolymer, Tetrahexyldecyl Ascorbate, Glyceryl Stearate, Peg-100 Stearate, Cetyl Alcohol,
Dimethicone, Dippg-2 Myreth-10 Adipate, Stearic Acid, Phenoxyethanol, Ethylhexyl Methoxycinnamate, Panthenol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Xanthan Gum,
Caprylyl Glycol, Butylene Glycol, Tocopheryl Acetate, Glycine Soja (Soybean) Sterols, Linoleic Acid, Phospholipids, Simmondsia Chinensis (Jojoba) Seed Oil, Squalene, Propylene Glycol,
Ethylhexylglycerin, Glucosamine Hcl, Hexylene Glycol, Linoleamidopropyl Pg-Dimonium Chloride Phosphate, Peg-8, Pisum Sativum (Pea) Extract, Citrus Nobilis (Mandarin Orangee)
Peel Oil, Dipotassium Glycyrrhizate, Phyllanthus Emblica Fruit Extract, Stearyl Glycyrrhetinate, Bambusa Vulgaris Leaf/Stem Extract, Tocopherol, Magnesium Aluminum Silicate, Olea
Europaea (Olive) Leaf Extract, Disodium Edta, Eugenia Caryophyllus Leaf Oil, Yeast Polysaccharides, Sodium Hyaluronate, Glyceryl Polymethacrylate, Carbomer, Eugenol, Ascorbyl
Palmitate, Citric Acid, Benzoic Acid, Camellia Sinensis (Green Tea) Leaf Extract, Ascorbic Acid, Sodium Lactate, Polysorbate 20, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Spiraea
Ulmaria Flower Extract, Taurine, Corallina Officinalis Extract, Vitis Vinifera (Grape) Seed Extract, Centella Asiatica Flower/Leaf/Stem Extract, Centella Asiatica
Extract, Potassium Sorbate, Bht, Acetyl Hexapeptide-8, Darutoside, Palmitoyl Pentapeptide-4, Arginine, Leucine, Lysine,
Sodium Benzoate, Valine, Palmitoyl Tripeptide-1."
VITAL C hydrating intense moisturizer;819984010055;V-202N;IMAGE Skincare;19;40,60 €;81,20 €;50 ml;"Eine sofort wirksame, nährende ultra-feuchtigkeitsspendende Crème zur intensiven Hydration und für ganztägige
Geschmeidigkeit. Diese seidige Rezeptur bringt jugendliche Spannkraft für eine perfekt glatte und strahlend schöne Haut.";Morgens und/oder abends eine großzügige Menge auf die gereinigte Haut auftragen;"Water/Aqua/Eau, Glycerin, Caprylic/Capric Triglyceride, Olea Europaea (Olive) Fruit Oil, Cetearyl Alcohol, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Ppg-3 Benzyl Ether
Myristate, Di-C12-15 Alkyl Fumarate, Dimethicone, Glyceryl Stearate, Peg-100 Stearate, Citrus Aurantium Dulcis (Orange) Peel Oil, Erythritol, Polysorbate 20, Acrylates/C10-30 Alkyl
Acrylate Crosspolymer, Tetrahexyldecyl Ascorbate, Carbomer, Eugenia Caryophyllus (Clove) Leaf Oil, Ethylhexylglycerin, Tocopheryl Acetate, Retinyl Palmitate, Sodium Ascorbyl
Phosphate, Mannitol, Sodium Hyaluronate, Sodium Lactate, Ceramide Ns, Ascorbic Acid, Homarine Hcl, Tocopherol, Biotin, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate,
Saccharomyces Cerevisiae Extract, Vitis Vinifera (Grape) Seed Extract, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Sodium
Hydroxide, Limonene, Eugenol, Linalool, Isoeugenol."
VITAL C hydrating repair crème;819984011212;V-203N;IMAGE Skincare;19;42,00 €;84,00 €;57 g;"Eine ultra-feuchtigkeitsspendende Repair Crème mit Antioxidantien.
Die essentiellen Vitamine A und C versorgen trockene und müde wirkende Haut intensiv, während Hyaluronsäure
die Feuchtigkeit in der Haut einschließt und empfindliche Haut beruhigt.";Abends eine großzügige Menge auf die gereinigte Haut auftragen.;"Aloe Barbadensis Leaf Juice, Water/Aqua/Eau, Glycerin, Dimethicone, C12-15 Alkyl Benzoate, Glyceryl Stearate, Isostearyl Neopentanoate, Peg-100 Stearate, Simmondsia Chinensis
(Jojoba) Seed Oil, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Citrus Aurantium Dulcis (Orange) Oil, Limonene, Brassica Campestris/Aleurites Fordi Oil Copolymer, Cetyl Alcohol,
Tetrahexyldecyl Ascorbate, Stearyl Alcohol, Phenoxyethanol, Cyclopentasiloxane, Tocopherol, Ceteth-10 Phosphate, Dicetyl Phosphate, Magnesium Ascorbyl Phosphate, Panthenol,
Squalane, Caprylyl Glycol, Glycine Soja (Soybean) Sterols, Linoleic Acid, Phospholipids, Ethylhexylglycerin, Glucosamine Hcl, Hexylene Glycol, Xanthan Gum, Magnesium Aluminum
Silicate, Peg-8, Butylene Glycol, Phytic Acid, Sodium Hydroxide, Pisum Sativum (Pea) Extract, Allantoin, Retinyl Palmitate, Bambusa Vulgaris Leaf/Stem Extract, Citrus Nobilis (Mandarin
Orange) Peel Oil, Yeast Polysaccharides, Dipotassium Glycyrrhizate, Disodium Edta, Sodium Hyaluronate, Benzoic Acid, Ascorbyl Palmitate, Pyruvic Acid, Tremella Fuciformis Sporocap
Extract, Citric Acid, Ascorbic Acid, Vitis Vinifera (Grape) Seed Extract."
VITAL C hydrating enzyme masque;819984011151;V-204;IMAGE Skincare;19;22,00 €;44,00 €;57 g;"Eine feuchtigkeitsspendende Enzymmaske, die fahle, trockene Hautzellen schonend abträgt.
Die nährenden Vitamine A, C, E wirken zusammen mit Hyaluronsäure, Antioxidantien und natürlichen Fruchtenzymen
für eine strahlend schöne, ebenmäßige Haut.";"1-3 Mal pro Woche eine dünne Schichte auf die gereinigte Haut auftragen,
10-20 Minuten auf der Haut belassen, mit lauwarmem Wasser, gefolgt von einem Spritzer kalten Wassers, abnehmen.";"Aqua/Water/Eau, Glycerin, Diethylhexyl Maleate, Ananas Sativus (Pineapple) Fruit Extract, Cetyl Alcohol, Glyceryl Stearate, Peg-100 Stearate, Ceteareth-20, Cetearyl Alcohol, Citrus
Aurantium Dulcis (Orange) Oil, Limonene, Sodium Ascorbyl Phosphate, Tetrahexyldecyl Ascorbate, Phenoxyethanol, Zea Mays (Corn) Starch, Glucosamine Hcl, Citric Acid, Caprylyl
Glycol, Pisum Sativum (Pea) Extract, Xanthan Gum, Pullulan, Bambusa Vulgaris Leaf/Stem Extract, Aloe Barbadensis Leaf Juice, Ethylhexylglycerin, Hexylene Glycol, Tocopheryl Acetate,
Chondrus Crispus Extract, Carica Papaya (Papaya) Fruit Extract, Butylene Glycol, Disodium Edta, Citrus Nobilis (Mandarin Orange) Peel Oil, Yeast Polysaccharides, Nannochloropsis
Oculata Extract, Retinyl Palmitate, Sodium Hyaluronate, Potassium Sorbate, Propylene Glycol, Sodium Benzoate, Vitis Vinifera (Grape) Seed Extract, Tocopherol."
VITAL C hydrating eye recovery gel;819984011175;V-205;IMAGE Skincare;19;28,00 €;56,00 €;15 ml;Angereichert mit pflegenden Antioxidantien und Peptiden versorgt es die müde wirkende Augenpartie und erfrischt die Haut.;Morgens und abends auf den Augenbereich auftragen und einwirken lassen.;"Aqua/Water/Eau, Glycerin, Butylene Glycol, Cetearyl Alcohol, Dipalmitoyl Hydroxyproline, Caprylic/Capric Triglyceride, Polysorbate 20, Ceteareth-20, Cyclopentasiloxane, Peg-8/Smdi
Copolymer, Peg-8 Dimethicone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Phenoxyethanol, Imperata Cylindrica Root Extract, Sodium Hydroxide, Caprylyl Glycol, Glycine Soja
(Soybean) Sterols, Linoleic Acid, Phospholipids, Tetrahexyldecyl Ascorbate, Ethylhexylglycerin, Hexylene Glycol, Steareth-20, Disodium Edta, Carbomer, Sodium Lactate, Citrus Nobilis
(Mandarin Orange) Peel Oil, Peg-8, Limonene, Echinacea Angustifolia Extract, Leuconostoc/Radish Root Ferment Filtrate, Xanthan Gum, Sodium Citrate, Chlorhexidine Digluconate,
N-Hydroxysuccinimide, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Hyaluronic Acid, Centella Asiatica Extract, Potassium Sorbate, Hesperidin Methyl Chalcone, Acetyl
Octapeptide-3, Glycine, Magnesium Ascorbyl Phosphate, Olea Europaea (Olive) Leaf Extract, Retinyl Palmitate, Citric Acid, Palmitoyl Tripeptide-1, Darutoside, Palmitoyl Pentapeptide-4,
Palmitoyl Tetrapeptide-7, Acetyl Hexapeptide-8, Glucose, Chrysin, Palmitoyl Tripeptide-5, Malus Domestica Fruit Cell Culture Extract, Biotin, Dipeptide-2, Carrageenan, Tocopherol,
Lecithin."
VITAL C hydrating facial oil;819984012592;V-207N;IMAGE Skincare;19;29,00 €;59,00 €;30 ml;"Dieses ultraleichte Öl hydriert, nährt und besänftigt trockene/dehydrierte und sensible Haut mit einem langanhaltenden Effekt.
Lässt stumpfe, müde Haut erstrahlen. Moringa, Sanddorn, Traubenkernöl, sowie stabilisierte Antioxidantien erhellen und helfen
alternde Haut zu verjüngen. Nährt mit entzündungshemmenden pflanzlichen Wirkstoffen.";"Morgens und abends eine geringe Menge auf die gereinigte Haut auftragen und einmassieren.
Zudem optimal für trockene Ellbogen und Fingerspitzen geeignet.";"Caprylic/Capric Triglyceride, Squalane, Moringa Oleifera Seed Oil, Vitis Vinifera (Grape) Seed Oil, Hippophae Rhamnoides (Sea Buckthorn) Fruit Oil, Tetrahexyldecyl Ascorbate, Citrus
Aurantium Dulcis (Orange) Peel Oil, Tocopheryl Acetate, Retinyl Palmitate, Helianthus Annuus (Sunflower) Seed Oil, Argania Spinosa Kernel Oil, Tocopherol, Persea Gratissima (Avocado)
Oil, Limonene, Linalool."
VITAL C hydrating hand and body lotion;819984013230;V-208;IMAGE Skincare;19;21,00 €;44,00 €;170 g;"Reichhaltige Lotion mit organischen, nährstoffreichen Ölen und Extrakten in Kombination mit Shea Butter
und Antioxidantien zur Revitalisierung der Haut.";Täglich eine großzügige Menge auf Körper und Hände auftragen.;"Aqua, Isostearyl Neopentanoate, Glycerin (Organic), Caprylic/Capric Triglyceride, Polysorbate 80, Isohexadecane, Sodium Acrylate/Sodium Acryloyldimethyl Taurate/Acrylamide
Copolymer, Cetyl Alcohol, C12-15 Alkyl Benzoate, Glyceryl Stearate, Peg-100 Stearate, Beta Vulgaris (Beet) Root Extract, Cyclopentasiloxane, Hydrolyzed Corn Starch, Aloe Barbadensis
Leaf Juice (Organic), Ceramide Np, Tetrahexyldecyl Ascorbate, Tocopheryl Acetate, Macadamia Integrifolia Seed Oil, Hibiscus Sabdariffa Flower Extract, Vitis Vinifera (Grape) Seed
Extract, Butyrospermum Parkii (Shea) Butter Extract (Organic), Simmondsia Chinensis (Jojoba) Seed Oil (Organic), Sodium Hyaluronate, Ascorbic Acid, Ascorbyl Palmitate, Resveratrol,
Superoxide Dismutase, Phenoxyethanol, Magnesium Ascorbyl Phosphate, Panthenol, Stearic Acid, Dipotassium Glycyrrhizate, Butylene Glycol, Caprylyl Glycol, Dimethicone, Squalane,
Linoleic Acid, Citrus Aurantium Dulcis (Orange) Peel Oil, Retinyl Palmitate, Glycine Soja (Soybean) Sterols, Phospholipids, Tocopherol, Ethylhexylglycerin, Hexylene Glycol, Phytic Acid,
Glycine Soja (Soybean) Oil, Allantoin, Disodium Edta, Propylene Glycol, Lactic Acid, Yeast Polysaccharides, Sodium Hydroxymethylglycinate, Sodium Dna, Superoxide Dismutase."
VITAL C hydrating water burst;819984013889;V-209;IMAGE Skincare;19;26,00 €;52,00 €;59 ml;"Leichtes, transformierendes Gel zur intensiven Hydratation der Haut. Während der Anwendung werden zahlreiche
Antioxidantien, Hyaluronsäure, Vitamine und Peptide freigesetzt um ein jugendlicheres, vitaleres und gesünder
aussehendes Hautbild zu fördern. Von Fachärzten entwickelt.";"Eine kirschgroße Menge mit etwas Druck in die Haut einmassieren um die aktiven Schlüsselwirkstoffe freizusetzen.
Morgens und im Laufe des Tages anwenden.";"Aqua/Water/Eau, Dimethicone, Cyclopentasiloxane, Glycerin, Dimethicone/Peg-10/15 Crosspolymer, Sodium Chloride, Phenoxyethanol, Citrus Aurantium Dulcis (Orange) Peel Oil,
Limonene, Arbutin, Ethylhexylglycerin, Magnesium Ascorbyl Phosphate, Panthenol, Ascorbic Acid, Retinyl Palmitate, Tocopheryl Acetate, Tocopherol, Leuconostoc/Radish Root
Ferment Filtrate, Linalool, Potassium Sorbate, Hyaluronic Acid, Sodium Hyaluronate, Acetyl Hexapeptide-8, Echinacea Angustifolia Extract, Sodium Ferrocyanide."
VITAL C hydrating antioxidant ACE serum;819984013834;V-216N;IMAGE Skincare;19;36,50 €;73,00 €;30 ml;"Konzentrierte Essenz für die Haut mit den Vitaminen A, C und E sowie einer potenten Mischung aus pflanzlichen Antioxidantien
und Grünem Tee. Beinhaltet eine Mischung aus Aminosäuren, Red Rose Wine Complex angereichert mit Polyphenolen und
Polypeptiden, die für die Hautgesundheit essentiell sind. Von Fachärzten entwickelt.";Morgens und/oder abends auf die gereinigte Haut auftragen.;"Water/Aqua/Eau, Panthenol, Polysorbate 20, Sodium Ascorbyl Phosphate, Glycerin, Phenoxyethanol, Citrus Aurantium Dulcis (Orange) Peel Oil, Butylene Glycol, Hydroxyethylcellulose,
Centella Asiatica Extract, Sodium Hyaluronate, Ethylhexylglycerin, Echinacea Purpurea Extract, Arctostaphylos Uva Ursi (Bearberry) Leaf Extract, Glycosaminoglycans, Magnesium
Ascorbyl Phosphate, Wine Extract, Rose Extract, Hydroxypropyl Cyclodextrin, Sucrose, 1,2-Hexanediol, Arginine, Camellia Sinensis (Green Tea) Leaf Extract, Citric Acid, Leucine, Lysine
Hcl, Retinyl Palmitate, Tetrahexyldecyl Ascorbate, Tocopheryl Acetate, Tyrosine, Valine, Benzoic Acid, Mineral Salts, Palmitoyl Tripeptide-38, Tocopherol, Spiraea Ulmaria (Meadowsweet)
Flower Extract, Sodium Benzoate, Sodium Metabisulfite, Dehydroacetic Acid, Limonene, Linalool."
VITAL C hydrating overnight masque;819984013896;V-272N;IMAGE Skincare;19;34,75 €;69,50 €;57 g;"Overnight-Maske mit dreifachem Mineralienkomplex zur Revitalisierung der Haut über Nacht. Die Geltextur transportiert
Feuchtigkeit in die Haut und schließt vitale Nährstoffe ein. Blaugrüner Algenextrakt, eine natürliche Retinoid-Alternative,
fördert eine glattere Haut und reduziert die Anzeichen von Falten. Hämatit und Malachit bieten einzigartige Vorteile für
gestresste Haut. Intensiv hydrierte und strahlend schöne Haut am nächsten Morgen. Von Fachärzten entwickelt.";"Abends eine großzügige und gleichmäßige Schicht auf die gereinigte Haut auftragen und über Nacht einwirken lassen.
Am nächsten Morgen mit lauwarmem Wasser entfernen. Anwendung 2-3 Mal pro Woche oder nach Bedarf.";"Aqua/Water/Eau, Butylene Glycol, Dimethicone, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Glycerin, Polyglyceryl-3 Methylglucose Distearate, Propanediol,
Cyclopentasiloxane, Hippophae Rhamnoides (Sea Buckthorn) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Allantoin, Soluble Collagen, Ethylhexylglycerin, Dimethicone/Vinyl
Dimethicone Crosspolymer, Pentylene Glycol, Tocopherol, Retinyl Palmitate, Tetrahexyldecyl Ascorbate, Hematite Extract, Hydrogenated Starch Hydrolysate, Biosaccharide Gum-1,
Leuconostoc/Radish Root Ferment Filtrate, Disodium Edta-Copper, Anthemis Nobilis Flower Extract, Echinacea Angustifolia Extract, Magnesium Aspartate, Malachite Extract, Sodium
Hyaluronate Crosspolymer, Symphytum Officinale Rhizome/Root Extract, Zinc Gluconate, Algae Extract, Copper Gluconate, Phenoxyethanol, Potassium Sorbate, Sorbic Acid, Limonene,
Linalool."
ORMEDIC® balancing facial cleanser;819984016132;O-400;IMAGE Skincare;19;18,50 €;37,00 €;177 ml;"Ein mildes, sulfatfreies und erfrischendes Reinigungsgel zum sanften Entfernen von Make-up und Unreinheiten.
Hinterlässt die Haut zart, sanft und optimal gereinigt.";"Morgens und abends mit angefeuchteten Händen auf das Gesicht auftragen und 1 Minute sanft einmassieren.
Mit kühlem Wasser abnehmen.";"Aloe Barbadensis Leaf Juice*, Aqua/Water/Eau, Sodium Lauroyl Methyl Isethionate, Glycerin, Peg-18 Glyceryl Oleate/Cocoate, Cocamidopropyl Betaine, Peg-120 Methyl Glucose
Dioleate, Sorbitol, Decyl Glucoside, Phenoxyethanol, Caprylic/Capric Triglyceride, Oryza Sativa (Rice) Extract*, Panthenol, Trisodium Ethylenediamine Disuccinate, Camellia Sinensis Leaf
Extract*, Sodium Benzoate, Ethylhexylglycerin, Amyl Cinnamal, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Peel Extract, Juniperus Virginiana Wood Extract,
Musa Sapientum (Banana) Fruit Extract, Prunus Armeniaca (Apricot) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Limonene, Arnica Montana Flower Extract*, Calendula Officinalis
Flower Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Symphytum Officinale Root Extract*, Benzyl Alcohol, Leuconostoc Ferment Filtrate*, Ananas Sativus (Pineapple) Fruit
Extract, Butter Extract, Citrus Paradisi (Grapefruit) Fruit Extract, Cocos Nucifera (Coconut) Fruit Extract, Coffea Arabica (Coffee) Leaf/Seed Extract, Cucumis Melo (Melon) Fruit Extract,
Fragaria Chiloensis (Strawberry) Fruit Extract, Olive Oil Peg-7 Esters, Prunus Amygdalus Dulcis (Sweet Almond) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Vanilla Planifolia
Fruit Extract, Sodium Peg-7 Olive Oil Carboxylate, Avena Sativa (Oat) Kernel Extract, Soybean Peroxidase, Superoxide Dismutase, Tocopherol, Potassium Sorbate.
*Certified Organic."
ORMEDIC® balancing antioxidant serum;819984014930;O-301;IMAGE Skincare;19;36,00 €;72,00 €;30 ml;"Essentielles Serum zur täglichen Anwendung, das die Haut zart macht und sie beim Kampf gegen Umweltschäden unterstützt.
Antioxidative Eigenschaften fördern eine strahlend schöne Haut und versorgen die Haut umgehend.";Morgens und abends auf die frisch gereinigte Haut auftragen und einwirken lassen.;"Aqua/Water/Eau, Aloe Barbadensis Leaf Juice*, Glycerin*, Propanediol, Vitis Vinifera (Grape) Fruit Water*, Polysorbate 20, Phenoxyethanol, Beta Vulgaris (Beet) Root Extract,
Caprylyl Glycol, Polyacrylate Crosspolymer-6, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Citrus Aurantium Dulcis (Orange) Peel Oil, Limonene, Sodium
Hyaluronate, Aminomethyl Propanol, Copper Pca, Ethylhexylglycerin, Glycine, Niacinamide, Lactic Acid, Citric Acid, Polysorbate 60, Sorbitan Isostearate, Arctium Lappa Root Extract*,
Calendula Officinalis Flower Extract*, Camellia Sinensis Leaf Extract*, Citrus Nobilis (Mandarin Orange) Peel Oil,Citrus Paradisi (Grapefruit) Peel Oil, Curcuma Longa (Turmeric) Root
Extract*, Nelumbo Nucifera Flower Extract*, Tamarindus Indica Fruit Extract*, Terminalia Ferdinandiana Fruit Extract*, Trifolium Pratense (Clover) Flower Extract*, Biosaccharide
Gum-1, Haberlea Rhodopensis Leaf Extract, Yeast Extract, T-Butyl Alcohol, Sodium Levulinate, Glyceryl Caprylate, Vanilla Planifolia Fruit Extract, Sodium Anisate, Tocopherol.
*Certified Organic."
