mainDetailNumber;name;mainDetailEAN;mainDetailweight;Purchaseprice;pseudoprice;purchaseunitdetail;Menge;description_long
PF0109SL500BS;Liquid Soap Marseille 495ml FESTIVE PINE;3551780009495;495 ml;13,50 €;27,00 €;6;3.0;Die La Compagnie de Provence Festive Pine Liquid Soap Marseille ist eine Seife die in einem Kessel nach traditionellen Methoden hergestellt wird und ist mit pflanzlichen Ölen aus der Provence angereichert. Sie reinigt die Haut sanft und hilft gleichzeitig, den Feuchtigkeitsgehalt der Haut zu erhalten. Ein fruchtig-holziger Duft, der in Grasse kreiert wurde, wo sich der Duft der Kiefer mit Noten von Sandelholz und Früchten vermischt und eine warme und festliche Atmosphäre schafft. Anwendung: Es ist Zeit, sich einzuschäumen! Drücken Sie ein- oder zweimal auf die Pumpe, um die Seife auf Ihre nassen Hände zu verteilen, schäumen Sie sie sanft auf und spülen Sie sie dann mit klarem Wasser ab. Geeignet für den häufigen Gebrauch. Kann für den Körper verwendet werden. Nur zur äußerlichen Anwendung. Vermeiden Sie den Kontakt mit den Augen. Sollte das Produkt mit den Augen in Berührung kommen, gründlich mit Wasser ausspülen.
PF0109SL500BE;Liquid Soap Marseille 495ml WOODS & SPICES;3551780009501;495 ml;13,50 €;27,00 €;6;3.0;Diese Seife wird in einem Kessel nach traditionellen Methoden hergestellt und ist mit pflanzlichen Ölen aus der Provence angereichert. Sie reinigt die Haut sanft und hilft, den Feuchtigkeitsgehalt der Haut zu erhalten. Dieser grüne, holzige und würzige Duft wurde in Grasse kreiert und vereint den reinen Duft mediterraner Pinien mit warmen Noten von Patchouli und Zimt.
PF0109BP150BS;Scented Candle 150g FESTIVE PINE;3551780009518;150 gr;24,50 €;49,00 €;6;3.0;Die La Compagnie de Provence Sented Candle Festive Pine Duftkerze wird in Handarbeit aus 100% pflanzlichem Wachs hergestellt, das aus in Europa angebautem Raps gewonnen wird. Sie bietet ein einzigartiges Dufterlebnis. Eine helle Flamme und ein schöner Duft, der eine warme Atmosphäre schafft und die Weihnachtszeit erhellt! Die holzigen Noten der Kiefer vermischen sich mit den köstlichen Düften von Apfel und Bergkristallzucker zu einem Duft, der sofort an einen frisch geschmückten Weihnachtsbaum erinnert. Ein Docht aus reiner Baumwolle und natürliches Wachs sorgen dafür, dass sich der in Grasse kreierte Duft perfekt verbreitet. Der wiederverwendbare Glastiegel wird in Frankreich im Siebdruckverfahren bedruckt, während der Deckel speziell entwickelt wurde, um die Qualität des Wachses und die Intensität des Duftes zu bewahren. Brenndauer: ca. 30 Stunden. Anwendung: Zünden Sie Ihre Duftkerze an und atmen Sie den kühnen, überraschenden Duft der Kiefer ein, der sich mit den köstlichen Düften von Apfel und Bergkristallzucker vermischt. Lassen Sie sich mitreißen von der festlichen Energie, die dieser Duft ausstrahlt, und dem guten Gefühl, das er mit sich bringt. Lassen Sie Ihr Glück leuchten und ansteckend sein!
CO0105MU20221;SHEA ESSENTIALS 2022 (Shower Oil 30ml, Handcream 30ml & Dry Oil 100ml);3551780009600;1 Stk.;29,50 €;59,00 €;4;nan;Jetzt mit 50% Rabatt während des Sale. Dieses schöne Geschenkset von Compagnie de Provence möchte man eigentlich nicht verschenken, sondern selbst behalten! Dieses Geschenkpaket enthält drei schöne Produkte aus der Shea-Kollektion von Compagnie de Provence, um Ihr Badezimmerritual zu vervollständigen! Huile Sèche Dry Oil 100 ml Erhellen Sie Ihre Schönheitsroutine mit diesem trockenen Öl, das sich so weich anfühlt wie Samt. Diese Formel besteht aus 99 % natürlichen Inhaltsstoffen und ist eine kostbare Mischung aus ultra-nährendem Shea-Absolue, hautberuhigendem reinem Traubenkernöl, süßem Mandelöl und Bio-Olivenöl aus der ersten Pressung mit feuchtigkeitsspendenden Eigenschaften. Mit seiner exquisiten, zarten Textur kann dieses multifunktionale Öl auf Gesicht, Körper und Haar verwendet werden.Crème Mains Hand Cream 30 ml Diese ultraweiche Creme, bestehend aus 20 % Fairtrade-Sheabutter, pflegt und macht die Haut intensiv weich und schützt sie vor äußeren Stressfaktoren. Ergebnisse: Ihre Hände fühlen sich perfekt angenehm und weich an.Huile De Douche Shower Oil 30 ml Versorgt in einem Wasserkocher in Übereinstimmung mit traditionellen Produktionsmethoden, verwandelt sich unsere Flüssigseife in einen feinen Schaum, der die Haut sanft reinigt. Aus 97,1 % natürlichen Inhaltsstoffen und mit Sheabutter angereichert, reinigt es die Haut perfekt, ohne sie auszutrocknen. Darüber hinaus ist es in einer eleganten nachfüllbaren Glasflasche erhältlich, die in jedem Haus fantastisch aussieht!
CO0103TN20221;SOFT SKIN KIT - BLACK TEA 2022(Liquid Soap 495ml & Handcream 300ml);3551780009426;1 Stk.;26,50 €;53,00 €;4;nan;Made in Frankreich. Zone: körper, hände. Creme, flüssig. Funktion: reinigend, feuchtigkeitsspendend. Neu mit Designerverpackung. Nützliche informationen: vermeiden sie den kontakt mit den augen
PF0115CC200AV;Ultra-Hydrating Body Cream 200ml SEAWEED;3551780007101;200ml;21,00 €;42,00 €;6;3.0;Luxeriöse Bodycreme mit frischem Duft. Angereichert mit Algen aus dem Mittelmeerraum und botanischen Ölen, wirkt diese seidige Körpercreme glättend und belebend auf der Haut und spendet bis zu 48 Stunden lang Feuchtigkeit. Kostbares Duo aus botanischen Ölen der Provence: PDO-Olivenöl, um die Haut zu nähren und vor äußeren Einflüssen zu schützen, indem es wie ein Schutzschild wirkt. Süßes Mandelöl um die Haut zu beruhigen und weich zu machen. Sheabutter um die Haut zu nähren. Die Gel-Creme-Textur hat eine sofortige erfrischende und belebende Wirkung, wie ein belebendes Bad im Meer. Sie zieht schnell ein und hinterlässt ein angenehmes, samtig-weiches Hautgefühl, ohne zu fetten, und umhüllt von einem dezenten, frischen und zarten Duft. Mehr zu diesem Produkt: Ideal für jede Haut, die Feuchtigkeit und Komfort braucht Frischer und zarter Duft Hydratisiert, beruhigt und schützt Dermatologisch getestet.
PF0115CM075AV;Ultra-Hydrating Hand Cream 75ml SEAWEED;3551780007132;75ml;11,00 €;22,00 €;6;3.0;Made in Frankreich. Zone: hände. Creme. Funktion: feuchtigkeitsspendend, beruhigende, schutz. Neu mit Designerverpackung. Nützliche informationen: dermatologisch getestet, vermeiden sie den kontakt mit den augen
PF0115CM030AV;Ultra-Hydrating Hand Cream 30ml SEAWEED;3551780007118;30ml;4,75 €;9,50 €;12;6.0;Die La Compagnie de Provence Algue Velours Hand Cream ist eine luxuriöse Handcreme mit frischem Duft. Die Handcreme Algue Velours von Compagnie de Provence schenkt den Händen mit Algen aus dem Mittelmeer und botanischen Ölen eine reichhaltige Pflege und samtige Geschmeidigkeit. Die ultracremige Textur spendet der Haut nach der Reinigung intensiv Feuchtigkeit, beruhigt und schützt sie vor äußeren Einflüssen. Die geschmeidige, seidige Textur zieht schnell ein, hinterlässt ein samtiges Finish und umhüllt die Hände mit einem frischen, zarten Duft. Dermatologisch getestet, mit 95% natürlichen Inhaltsstoffen, ultracremige Textur, hydratisiert, beruhigt und schützt, frischer und zarter Duft. Anwendung: Eine kleine Menge der Creme auf die gereinigte und trockene Haut auftragen und sanft einmassieren. Je nach Bedarf wiederholen oder für seidige Ergebnisse nach jedem Händewaschen. Hinweis: Nur für die äußerliche Anwendung. Den Kontakt mit den Augen vermeiden.
PF0115SL300AV;Liquid Soap Marseille 300ml SEAWEED;3551780009563;300 ml;11,00 €;22,00 €;6;3.0;"Diese in einem Kessel nach traditionellen Methoden hergestellte Seife ist mit ""Filzalgen"" aus dem Mittelmeer und außergewöhnlichen botanischen Ölen aus der Provence angereichert. Sie reinigt sanft Hände und Körper und hilft, den Feuchtigkeitsgehalt der Haut zu erhalten. Die Seife erzeugt einen feinen, cremigen Schaum, der ein sofortiges Gefühl von Frische und Komfort vermittelt. Ohne Farbstoffe und tierische Fette. Biologisch abbaubare Formel. Frischer, zarter Duft, kreiert in Grasse."
PF0115SL500AV;Liquid Soap Marseille 495ml SEAWEED;3551780007088;495ml;13,50 €;27,00 €;6;3.0;Die Algue Velours Hydrating Liquid Soap der französischen Marke La Compagnie de Provence reinigt die Haut sanft und gründlich, ohne sie auszutrocknen. Sie wird nach einem traditionellen Verfahren durch die Verseifung in einem Kessel hergestellt. Die flüssigen Seifen sind reich an Glyzerin und enthalten 98 % natürliche Inhaltsstoffe. Es sind keine Farbstoffe, tierischen Fette oder synthetisch gewonnenen Tenside enthalten, wodurch die Seife auch zur Hautpflege von empfindlicher Haut geeignet ist. Die frische, zart duftende Formel ist mit einem hochwertigen Extrakt der Meeresalge angereichert. Er ist reich an Proteinen, essenziellen Aminosäuren, Mineralien und Lipiden und schützt vor schädlichen Umwelteinflüssen.Umweltfreundliche Seifen aus Frankreich Pflegende Pflanzenöle machen die Hautpflege mit der Algue Velours Hydrating Liquid Soap von La Compagnie de Provence zu einem einzigartigen Erlebnis. Die biologisch abbaubare Formel eignet sich auch zum häufigen Händewaschen, ohne die Haut auszutrocknen. In Verbindung mit Wasser entwickelt die Flüssigseife einen zarten, cremigen Schaum, der auf der Haut ein angenehm frisches Gefühl erzeugt. Die nachfüllbare Glasflasche mit Pumpspender ist recycelbar und sieht im Badezimmer oder in der Küche attraktiv aus.
PF0115SL01LAV;Liquid Soap Marseille 1L SEAWEED;3551780007392;1000ml;18,00 €;36,00 €;6;nan;Die Seaweed Hydrating Liquid Soap kombiniert wertvolle Pflanzenöle aus der Provence mit „viltwier“ aus dem Mittelmeer. Das Ergebnis ist ein sehr feuchtigkeitsspendendes und pflegendes Produkt für Gesicht und Körper. Das Mittelmeer ist eine Schatztruhe voller Inhaltsstoffe, die für die Hautpflege geeignet sind. Tauchen Sie ein und entdecken Sie diese neue Kollektion von La Compagnie de Provence. Das Händewaschen ist ein einfacher, aber wesentlicher Bestandteil Ihrer Schönheitsroutine! Seit 30 Jahren hilft Ihnen Compagnie de Provence, Ihre Hände zu waschen und zu pflegen. Die flüssige Seife wird traditionell in einem Wasserkocher hergestellt. Kann verwendet werden, um die 300-ml- und 500-ml-Flaschen mehrmals zu füllen.
PF0115SL03LAV;Liquid Soap Marseille 3L Refill SEAWEED(Wird erst auf Anfrage bestellt);3551780009716;3 L;42,50 €;85,00 €;3;nan;Die La Compagnie de Provence Algue Velours Hydrating Liquid Soap hat einen neuen hochwirksamen Star-Wirkstoff: die Meeresalge, die in Südfrankreich gezüchtet wird. Reich an Proteinen, essenziellen Aminosäure, Mineralien und Lipiden spenden die Produkte viel Feuchtigkeit und schützen vor schädlichen Umwelteinflüssen. Die Meeresalge und weitere natürliche Inhaltsstoffe entfalten in Algue Velours ihre feuchtigkeitsspendende und schützende Power. Reinigung, Bodycare und Handcreme sind Made in France und gefallen dank ihrer seidigen Texturen und umhüllen die Haut mit einem frischen, zarten Duft.Vorteile- Ultra-feuchtigkeitsspendend- Umweltfreundliche Eigenschaften- Pflegende und weichmachende Pflanzenöle- Zarter Duft Anwendung: Füllen Sie Ihre modernen Pumpflaschen 495 ml und 300 ml immer wieder neu, um Ihre Flüssigseife noch länger zu genießen.Die Seife eignet sich ideal für häufiges Händewaschen. Zudem kann sie als Köperreinigung verwendet werden: Auf die feuchte Haut auftragen, sanft einmassieren und anschließend gründlich abwaschen. Hinweis: Nur für die äußerliche Anwendung. Den Kontakt mit den Augen vermeiden.
PF0101SL500EX;Liquid Soap Marseille 495ml;3551780004483;495 ml;15,50 €;31,00 €;6;3.0;Compagnie De Provence Peeling-Flüssigseife - Funkelnde Zitrusfrüchte Sonnig und fröhlich, dieses Parfüm mit funkelnden Zitrusnoten ist ein echter Hauch von Optimismus Es reinigt und peelt Körper und Hände mit einer einzigen Geste Die Marseille-Peeling-Flüssigseife bietet ein sanftes Peeling für Körper und Hände dank ihrer im Mittelmeerraum geernteten Olivenkerne. Diese Seife mit 98% Inhaltsstoffen natürlichen Ursprungs wird nach alter Art im Kessel in reinster Tradition aus pflanzlichen Ölen hergestellt. Sonnig und fröhlich, sein Duft ist ein echter Hauch von Optimismus und hinterlässt einen zarten Duft mit prickelnden Zitrusnoten auf der Haut. Außerdem werden die recycelten Peelingkörner aus Olivenkernen gewonnen, die für die Olivenölgewinnung verwendet werden, und tragen somit zur Verwertung von Olivenabfällen bei. Ergebnis Seine regelmäßige Anwendung gibt der Haut Geschmeidigkeit, Komfort und Ausstrahlung zurück.** Selbsteinschätzungstest an 20 Freiwilligen für 14 Tage Behandlungsritual In kreisenden Massagen auf zuvor angefeuchtete Hände und Körper auftragen. Anschließend gründlich ausspülen. Die feinen Körner dieses Peelings ermöglichen eine tägliche Anwendung. Zur Ergänzung unserer Handcremes und Body Moisturizer für schöne weiche Haut und bessere Wirksamkeit Ihrer Pflegeprodukte. Äußere Verwendung. Den Kontakt mit den Augen vermeiden. Bei Kontakt gründlich mit Wasser abspülen. INCI Aqua (Wasser), Potassium Cocoate, Xanthan Gum, Glycerin, Olea Europaea (Olive) Seeds Powder, Parfüm (Duft), Polyglyceryl-3 Caprylate, Tetrasodium Glutamate Diacetate, Cocos Nucifera (Coconut) Oil, Tetrasodium EDTA, Limonene, Tocopherol, Linalool , Citral. Format 300ml Flasche, mit Spender.
PF0101SL300EX;Liquid Soap Marseille 300ml PET;3551780005367;300 ml;12,00 €;24,00 €;6;3.0;Die feinen Peeling Seifen aus dem französischen Kosmetikhaus La Compagnie de Provence wie die Liquid Exfoliant Soap Argumes Pétillants entfernen alle Verschmutzungen von der Haut sehr gründlich. Während der Reinigung lösen gemahlene Olivensamen auch die abgestorbenen Hautschüppchen ab. Die exklusiv vom Kosmetiklabel La Compagnie de Provence entwickelten Peeling Seifen minimieren raue Hautstellen deutlich sichtbar. Nach jedem Waschen erfreut die Haut mit einer seidigen Geschmeidigkeit. Zudem besteht das flüssige Peeling aus der handlichen Flasche zu rund 98 Prozent aus natürlichen Inhaltsstoffen wie botanischen Ölen. Daher lieben Damen mit sehr sensibler Haut dieses reinigende Pflegeprodukt.Liquid Exfoliant Soap Argumes Pétillants für die intensive Reinigung perfekt gepflegter Hände Wie alle Peeling Seifen für die tägliche Reinigung des berühmten Kosmetiklabels aus der Provence wird auch die Flüssigseife mit der zitrischen Note durch die Verseifung in einem Kessel hergestellt. Schon bei der Entnahme einer Portion Liquid Exfoliant Soap Argumes Pétillants aus dem optisch ansprechend designten Pumpspender verströmt ein verführerischer Duft nach erfrischenden Zitrusnoten. Diese prickelnden Duftnuancen bleiben nach dem Waschen lange auf der Haut haften. Die praktische Flasche von La Compagnie de Provence findet sowohl auf der Ablage des Waschbeckens als auch auf dem Rand der Badewanne ihren festen Platz.
PF0101SL03LEX;Exfoliating Liquid Soap Marseille 3L Refill(Wird erst auf Anfrage bestellt);3551780009709;3 L;45,00 €;90,00 €;3;nan;Die La Compagnie de Provence Liquid Exfoliating Soap ist eine innovative Peeling-Seife mit belebendem Duft. Sie wurde entwickelt, um Körper und Hände in nur einem Schritt zu reinigen und zu peelen - für eine seidig weiche Haut mit natürlicher Ausstrahlungskraft. Die Peeling-Flüssigseife mit 98 % natürlichen Inhaltsstoffen sorgt dank fein gemahlener Olivensamen, die im Mittelmeerraum geerntet werden, für ein sanftes Peeling und hinterlässt mit funkelnden Zitrusnoten eine zart duftende Haut. Mit den restlichen 2 % der Zutaten gewährleistet Compagnie de Provence die sensorische Textur und die optimale Haltbarkeit der reichhaltigen Formel. Die Exfoliating Liquid Marseille Soap beschreitet neue Wege und bleibt dabei den bewährten Techniken treu: Nach alter Tradition wird die Flüssigseife durch die Verseifung mit botanischen Ölen in einem Kessel hergestellt. Mehr zu diesem Produkt Peeling-Flüssigseife mit 98 % natürlichen Inhaltsstoffen sanftes Peeling mit fein gemahlenen Olivensamen seidige Geschmeidigkeit & natürliche Ausstrahlung funkelnde Zitrusnoten für die tägliche Anwendung praktische Pumpflasche. Anwendung: Auf die Hände und den Körper auftragen und mit kreisenden Bewegungen auf die feuchte Haut auftragen. Die Seife hilft, die Wirksamkeit einer anschließend aufgetragenen Feuchtigkeitscreme oder eines Balms zu erhöhen. Für seidig weiche Haut, in Verbindung mit unseren feuchtigkeitsspendenden Handcremes und Körpercremes der Compagnie de Provence.
PF0101SL300RV;Liquid Soap Marseille 300ml REVITALIZING ROSEMARY;3551780007729;300ml;9,00 €;18,00 €;6;3.0;Made in Frankreich. Zone: körper. Flüssig. Funktion: gesichtsreiniger. Neu mit Designerverpackung. Nützliche informationen: vermeiden sie den kontakt mit den augen
PF0101SL300ME;Liquid Soap Marseille 300ml MEDITERRANEAN SEA;3551780000263;300ml;9,00 €;18,00 €;6;3.0;Die Compagnie de Provence Liquid Marseille Soap Mediterranean Sea wird nach alter Tradition in einem Kessel verseift und ist mit pflanzlichen Ölen von lokalen Produzenten angereichert. Sie verwandelt sich in einen leichten und cremigen Schaum, der die Haut sanft reinigt. Eigenschaften der Compagnie de Provence Liquid Marseille Soap Mediterranean Sea Mit dem frischen Duft des Mittelmeers Formel mit mindestens 95% der Inhaltsstoffe aus natürlichen Ursprung Mit Pflanzenölen wie Oliven-, Traubenkern- & Süßmandelöl aus Frankreich Traditionell hergestellt Für häufiges Händewaschen geeignet Anwendung der Compagnie de Provence Liquid Marseille Soap Auf die feuchte Haut auftragen, sanft reiben und gründlich abspülen. Auch für die Körperreinigung geeignet. Bei Kontakt mit den Augen, diese gründlich ausspüen. Nur zur äußerlichen Anwendung. Über Compagnie de Provence 1990 haben sich zwei Freunde aus Marseille zusammen getan und Compagnie de Provence gegründet. Das Ziel war es die traditionelle Marseiller Seife, den lokalen Schatz, mit der ganzen Welt zu teilen. Die authentische Marseiller Seife ist aus pflanzlichen Ölen und frei von Farbstoffen und synthetischen Zusätzen. Sie ist für Hände und Körper geeignet, aber auch zum Reinigen von Böden oder Wäsche. Inspiriert von den Vorteilen der ikonischen Seife, stellt Compagnie De Provence Produkte für den täglichen Gebrauch mit simplen, natürlichen und effektiven Inhaltsstoffen her.
